employeeid,name,mobile,email,password,address,salary,role,routingnumber
"15795963","Samuel Grayson","767600673","pgpwidu4@example.com","S5VKLlQmO","2382 Pine Dr, Metarie, LA 70001","80000","owner","985565591"
"24153876","Arthur August","556669837","zuuhd9kf@example.com","xHoO7mNa","2990 Pine Dr, Destrehan, LA 70047","20000","employee","338793525"
"31641753","Alfie Noah","861170153","gsyttvsi@example.com","9vcpPAABjGQD","3616 Maple St, Kenner, LA 70062","20000","employee","377336772"
"71599737","Bella Hazel","994740205","oo9l206v@example.com","t0Jc1Fpp","9881 Pine Dr, Kenner, LA 70062","20000","employee","299283629"
"66592549","Aubrey Lottie","417695900","bs6qsy3u@example.com","kc1TtJ6CM4Dk2TF4i","6990 Pine Dr, Harahan, LA 70123","20000","employee","195269854"
"67491311","Sienna Charlotte","758440678","wr66oylp@example.com","FGYlb4kkYgtQyp","4692 Cedar Rd, Kenner, LA 70062","20000","employee","389123758"
"55767890","Darcy Ezra","187264269","dt6bdjgh@example.com","uqjMrCqVGHh6z","1748 Birch Blvd, St. Rose, LA 70087","20000","employee","201757255"
"34653468","Jacob August","128845120","kmx98d9p@example.com","EJW6QvfIgopCDFvC","5372 Cedar Rd, Kenner, LA 70062","20000","employee","933541525"
"16630985","Jackson Elijah","437251116","h7py41v4@example.com","7mqm7KQBJu3senzC","729 Birch Blvd, Metarie, LA 70001","20000","employee","234139196"
"34400788","Penelope Charlotte","990349688","k8wdcclf@example.com","oSTqkesGE","486 Pine Dr, Laplace, LA 70068","20000","employee","897546731"
